Updated On,State,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Xur-V (Doses Administered),VaxZine-U (Doses Administered),X21 (Doses Administered),ADCC,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Total Individuals Vaccinated
10/1/2023,Maryland,52544,540,25,42724,20754,24119,16253,4973,16716,32837,32,31272,26626,36918,40913,436,15207,33965,29018,24924
8/4/2023,Arizona,49447,561,60,40125,10464,23169,10041,39723,14174,41738,89,42772,6587,12039,37152,32274,10609,26345,9761,24376
6/5/2023,Indiana,77693,698,52,44385,9419,31847,36686,44081,245,24887,50,33992,18067,11497,38197,10877,44805,28522,45579,5565
20/08/2023,Wisconsin,52615,823,82,3233,9376,21412,23613,10880,34239,2197,52,655,27755,41914,18775,30529,49252,22093,42660,2843
23/02/2023,Georgia,9947,928,86,5638,21812,27400,6830,1311,32657,19212,90,46252,12740,6601,29913,43425,29895,13408,18946,45613
16/01/2023,North Dakota,32397,549,59,15846,47366,7400,40854,21271,44838,37279,87,19262,12891,20918,33155,7125,15000,29397,46285,29865
10/12/2023,Iowa,97007,469,1,45915,12777,7261,15569,26221,47181,41341,43,27884,25064,42298,35562,47504,46537,12185,46503,23158
29/05/2023,Montana,86654,54,83,17505,9194,1154,21659,34797,7267,9718,17,41701,9139,14322,27312,14836,435,30244,46037,26903
14/07/2023,Arizona,62052,688,82,42970,7852,14075,7738,41296,40987,3123,49,8937,33269,1187,14473,33469,22045,1596,26844,46318
9/6/2023,Colorado,26898,251,29,23523,47627,7320,42815,3199,28302,41921,24,5,42657,23100,22562,27871,7326,8765,29575,49271
21/01/2023,Pennsylvania,56483,10,16,28503,7652,36327,25767,40300,98,34228,84,43008,23820,18874,13212,32948,31267,15323,37199,38609
1/9/2023,Wyoming,77511,659,45,13780,26990,16682,21659,30578,26909,38699,53,9012,46774,4365,42041,30589,9937,24900,9310,9392
25/09/2023,Louisiana,89009,544,96,19414,15273,1474,42349,26957,43266,8147,27,19761,28098,16707,4959,1853,43024,22095,21380,48506
18/05/2023,Rhode Island,17243,847,66,38669,46048,33495,20529,39802,27926,38153,67,19444,26282,9817,15202,37035,6633,26735,1819,46125
5/4/2023,Connecticut,80283,647,15,15519,34387,614,10256,25819,41809,6958,93,42448,45675,9727,45157,20391,18445,18299,30696,38970
4/12/2023,West Virginia,93754,929,33,29427,7194,12802,16782,2470,49836,39634,27,26816,25990,1321,48088,15205,10350,8896,38121,23601
8/10/2023,Hawaii,29439,848,49,26949,12652,29104,40275,13707,29007,39159,82,28235,17863,28114,44241,42499,31945,6654,35340,46528
16/04/2023,North Dakota,81979,864,3,49972,28121,41363,42598,49477,26809,34105,27,47096,6386,21010,49684,4337,8333,21784,27906,42302
24/06/2023,South Dakota,23297,993,21,19537,29937,18957,1187,32806,21264,14534,22,46900,49933,28183,18867,49241,17118,38673,14868,29295
12/7/2023,South Dakota,88865,843,9,37734,13160,9072,39469,15608,4943,9187,14,48391,26622,46225,42655,24309,41022,38122,5779,16497
17/12/2022,Utah,57517,961,18,10355,21311,25668,4121,14789,21339,8294,54,6411,24519,5479,13075,46098,36598,37249,2630,30
24/11/2023,Montana,50453,193,55,33112,37438,12460,25009,2928,28621,28389,69,20048,36136,32808,21832,16119,7425,48206,17237,36226
17/11/2023,Kentucky,96832,932,84,12118,46368,48963,33325,8696,25609,39526,66,325,17326,2228,30680,15070,33867,40834,7404,518
21/11/2023,Virginia,93083,681,35,5905,5630,16333,16628,43669,30515,47181,96,34359,14611,49207,44087,9049,9609,13278,36103,10904
14/04/2023,Maine,2339,925,73,31355,38969,8904,44446,41653,29243,15875,7,6635,32414,20258,19313,42999,5698,49137,41742,946
19/02/2023,Massachusetts,84884,967,88,25790,29701,13321,7932,3761,15196,16931,4,18917,45735,41377,32059,17574,19282,46751,36475,37363
31/12/2022,Idaho,84098,291,87,42091,46170,13557,5380,29354,589,37313,8,4863,12917,24875,30466,1788,2259,6000,5974,30286
30/07/2023,California,37472,849,90,35793,18201,6282,3271,29241,16356,35594,10,38510,39956,26764,45061,11608,32902,2889,8782,38678
29/08/2023,Maryland,65427,533,64,37046,25760,42946,10379,32609,47967,7574,8,5248,17886,32641,36135,41023,6840,37037,34563,22963
13/02/2023,Massachusetts,25992,389,78,25279,37612,22903,46559,35982,35517,30193,32,15859,81,31195,9478,35716,30171,44893,29744,7897
3/10/2023,Alaska,92934,195,48,21993,43217,3762,7598,4648,27508,17941,34,22141,48033,16367,41089,41483,7599,19311,20162,18575
19/02/2023,Colorado,6774,577,15,12268,45316,4660,41963,3224,20364,33217,62,40084,9086,18942,12624,31789,25812,23981,32628,44871
11/2/2023,Washington,86319,795,57,11989,27205,21446,43966,9742,1447,35684,63,34801,31806,42377,44476,6394,3797,30548,25627,13738
19/12/2022,North Carolina,19109,960,41,48518,45156,23476,6182,13266,28788,18096,65,15684,6057,44119,25726,49444,42438,4329,22851,34338
9/3/2023,Massachusetts,34281,114,55,1836,13235,1701,5276,7013,14014,4228,34,30176,31721,47450,48044,17037,25240,11050,32414,25795
14/10/2023,Minnesota,37342,266,81,5684,34833,46617,41211,47816,46722,47214,23,31176,12946,893,16964,29232,899,22666,19670,15692
18/04/2023,Wyoming,81303,789,39,35222,2098,9117,3695,37914,26841,1538,2,9615,46052,3862,7531,34672,921,4919,16536,11746
12/2/2023,Ohio,74084,558,26,5616,25343,648,33137,18514,8596,24166,13,20685,41612,19476,13956,15594,17767,34676,11810,47571
14/07/2023,Vermont,24723,749,58,18198,18419,12518,10648,17690,40112,15586,45,32405,6830,17576,46997,18383,15007,31628,1446,14073
14/10/2023,Colorado,85442,215,89,5034,20748,14670,11449,25255,13872,5655,8,48214,33987,2253,29641,785,10366,24579,27923,14534
12/11/2023,North Dakota,18610,774,82,2101,1036,18170,14398,8293,2607,5324,41,21082,11915,21637,28280,2845,23792,38548,46942,13229
31/12/2022,Maine,23613,274,64,8497,3890,24881,30454,19207,36620,45293,71,17640,16198,33496,49287,22721,25694,30902,24414,28925
11/12/2022,Virginia,29327,329,38,2138,36581,13005,28801,11622,13383,24130,88,9899,14347,45344,14389,23863,13700,38297,11330,22990
8/2/2023,Montana,99410,404,95,23976,24888,45993,18977,4369,34890,35946,55,14002,46723,26686,20260,45554,27723,6164,6814,36367
6/1/2023,Alaska,74195,739,66,47095,32114,21474,25625,599,25409,14707,36,11243,1490,9320,585,48616,13322,14560,31310,46544
13/01/2023,New York,70888,755,10,3848,40320,11246,49401,6197,8533,35016,8,1837,20619,12890,13652,3299,35207,14388,10332,28608
25/04/2023,Wyoming,53410,19,60,14639,31447,39105,28603,6820,23038,29026,67,32581,20549,46301,30618,45645,18368,29684,23150,11856
9/4/2023,Ohio,28660,640,2,2557,42758,35896,33228,12873,9024,13569,74,6402,2028,12872,21732,14210,39999,49707,48541,23912
21/04/2023,Wyoming,81683,94,25,20364,6922,44806,48484,8753,22987,32787,38,40632,551,26145,49981,38603,35871,29870,33697,29022
15/01/2023,Idaho,6046,270,38,11224,9417,46706,30741,9085,21987,2520,67,17884,26644,29213,42859,17511,29872,44272,24536,30003
14/03/2023,South Dakota,97637,453,25,4591,14256,41720,26244,19361,21558,18266,91,20970,22696,12537,47243,26123,49761,5008,18803,4995
21/09/2023,Hawaii,91543,49,61,16023,22264,46893,25508,16401,41190,44720,35,17704,35569,39889,34744,17133,28506,6035,3354,28719
10/8/2023,Tennessee,75518,730,82,30322,44891,41639,31687,23739,26370,29604,61,47076,13259,23802,23017,1915,18876,29361,46003,42707
14/02/2023,Tennessee,48903,476,71,8997,26960,4486,48561,10208,25664,39633,50,40686,256,38937,39288,26045,16645,9392,19925,11831
4/10/2023,Oregon,79196,760,79,26633,38118,32473,31125,13879,4666,41823,51,49878,104,28378,32538,29255,19890,28370,5650,29068
19/12/2022,New Hampshire,62226,728,89,16673,20827,8908,30868,46346,23358,11669,23,13601,23410,40952,38441,17456,49870,39673,25268,11542
10/10/2023,West Virginia,69932,225,88,20472,34169,30140,48961,34250,26767,23460,27,46713,36733,24373,18969,43417,31473,32207,2824,26977
3/6/2023,North Dakota,37730,760,38,8796,36221,7805,15922,47022,5281,20282,14,45650,4251,1943,14843,47947,30796,42271,37878,38770
15/06/2023,Minnesota,95035,318,29,47585,6054,41153,36713,1189,32533,19082,70,32264,12048,45695,34627,13842,32088,39253,31725,42748
23/05/2023,Missouri,93332,365,3,898,21454,12069,44831,614,44899,38148,28,49347,1518,42496,22022,35588,6678,47652,10430,14859
19/09/2023,New Mexico,9913,133,85,3214,32171,11070,26922,30672,5466,30044,54,41146,26909,44950,42634,41916,22064,18430,49414,44681
24/10/2023,Maine,77016,570,57,22362,12844,26552,34164,20484,30059,1776,48,18506,22488,14411,14185,20106,31662,29904,40888,29594
9/2/2023,Georgia,82263,296,80,36611,23538,15197,39946,22949,38739,8306,58,21007,31728,7201,34471,45932,47840,1148,6131,16154
15/08/2023,Texas,25838,13,30,30143,26653,33242,20320,23209,4095,23136,38,38147,38471,6709,6108,7283,37795,10558,35142,19574
9/2/2023,Louisiana,70040,20,80,43575,44773,27742,47281,49462,25150,44251,66,31371,1581,11705,14328,22065,20951,14790,26969,42486
15/10/2023,Colorado,64160,298,9,27866,12315,12493,9412,19534,48581,31388,18,1760,27599,37946,23979,41914,40720,46262,24100,37434
24/09/2023,Rhode Island,3441,159,19,26418,21788,4623,39909,17701,44914,49249,87,34141,5664,31384,18112,45110,19690,30940,17062,38107
29/06/2023,Arizona,99773,947,96,15032,29671,47666,22575,34482,10117,42251,48,25758,48518,47041,30216,49841,32348,27476,29971,32078
8/11/2023,Alaska,60202,900,73,49066,36692,44861,36317,21108,26261,49911,61,42459,17512,29778,42952,11952,14057,35647,48203,43317
4/1/2023,Delaware,2188,120,60,6142,15968,32032,16113,15228,38883,43636,46,3352,36335,3013,22059,34253,41615,32318,47317,30887
15/03/2023,Idaho,55772,363,95,8165,31861,24444,9394,17254,13144,26044,88,28311,42417,2959,23497,48856,18603,43128,4242,14001
16/02/2023,Wyoming,16424,668,48,29187,15052,40621,16752,34864,9811,35950,65,8037,33248,27702,28712,22956,23282,255,45955,43836
20/06/2023,New York,83890,235,81,13252,26553,35654,37837,16155,42797,5031,40,15600,14445,34384,48160,38669,34725,30790,28146,7877
16/07/2023,Connecticut,30837,189,6,15881,1437,44182,11992,41817,22044,41059,63,30950,9734,28241,22004,30150,23985,23086,32899,43265
15/10/2023,Indiana,32979,214,45,32873,19578,494,9921,21236,2776,29044,55,11053,23190,23961,22735,44561,27642,29659,22001,14366
30/07/2023,Florida,59882,201,87,20431,7729,47931,46384,5272,36972,10928,87,47390,22792,36694,41231,22983,18183,22589,28542,18575
31/08/2023,Texas,69005,574,37,18595,23107,17724,19849,15632,38842,29880,81,41879,17664,28116,9946,32916,3565,49025,45826,30432
16/04/2023,Nebraska,90031,460,47,32124,20911,11704,33672,10265,28170,12721,96,8826,32402,11425,46068,37768,47385,9670,14527,17036
1/9/2023,Wyoming,35526,867,14,20099,45899,38736,8341,29804,6798,34868,20,48629,38147,49898,18609,9396,41947,35684,21533,48773
21/03/2023,Indiana,37817,500,16,25542,44361,21548,44923,34401,1662,23661,83,38653,44861,3330,10408,36934,2257,39482,25612,37092
31/10/2023,Kentucky,59883,488,73,6222,39388,15039,34844,38068,18711,2882,48,28226,48433,20312,3980,14123,15476,9723,3630,44463
18/11/2023,Virginia,17495,701,32,24344,17388,25466,17277,7331,23239,12128,79,29175,18663,44465,27541,24482,41780,36866,25153,31563
3/7/2023,Montana,80842,358,90,1349,4625,44246,3400,27411,40220,9963,60,28471,41651,37336,31086,34666,25738,44134,36584,47973
24/04/2023,Nevada,73528,179,46,27432,29334,2889,45692,33410,26238,961,61,4858,3615,45133,8819,29959,9189,8718,22567,34189
3/3/2023,Utah,68315,795,22,13896,32966,29513,36477,15052,8812,30472,91,28037,10968,31372,4166,22963,1139,14511,49144,5028
30/01/2023,North Carolina,71226,920,81,41640,31591,23999,18535,8050,34501,31310,98,2654,7312,27729,27440,8081,48112,31287,25758,8411
2/5/2023,Maryland,87834,837,35,9358,5651,44799,31269,12222,40020,19228,40,10568,25136,13711,23621,39356,11015,41845,5273,23040
23/10/2023,Arizona,52133,838,10,27368,20570,22888,19706,3000,26586,20897,85,47643,17461,13705,5649,20332,8002,949,34606,43336
29/12/2022,Idaho,69074,23,10,5744,25943,18430,40126,6668,45080,30679,39,47546,18986,8109,32849,19715,18523,38537,32491,40019
8/3/2023,Wisconsin,63418,619,94,13461,40811,20275,19605,35656,2373,2004,56,8655,5649,41861,14167,39511,3952,8502,34199,20697
21/08/2023,Alabama,78852,800,31,30208,2875,14357,14276,46653,7986,21951,92,8835,2951,48445,3082,43094,39440,21006,39083,37597
12/7/2023,Massachusetts,35595,254,11,1072,19919,45945,23764,9583,48253,18033,4,15975,27083,26385,24751,43499,33893,15187,2965,48237
16/09/2023,Kentucky,45826,967,36,9365,31602,24686,14819,28912,45527,33226,40,14211,8432,47208,31666,30484,1463,36700,31577,16640
17/04/2023,South Carolina,69977,354,57,28207,27988,23078,46038,10185,9683,31614,16,35470,313,39912,43935,42062,2200,25333,28208,33453
5/3/2023,Arizona,6479,424,47,32352,26545,10461,25228,20136,13777,43481,57,7004,38614,3903,3424,33534,43371,36855,16174,44459
24/12/2022,North Dakota,6674,916,95,29488,22197,39211,49117,39708,37996,12724,82,41133,2687,30405,30468,2395,899,34515,19513,1299
29/07/2023,Rhode Island,62230,653,28,48535,36269,38750,39886,45179,11685,7368,18,19474,7778,7865,14709,3240,10297,49106,30409,24472
23/09/2023,Missouri,95405,169,54,47646,38060,38217,11994,38745,6847,41206,56,45563,25633,43640,48617,26482,10838,34854,2768,42017
27/02/2023,Montana,91239,42,69,38257,23774,23578,20829,41374,29076,5271,98,6727,49110,8599,45053,1299,22194,19866,9112,38895
17/01/2023,New Mexico,58515,919,82,12685,42849,21092,13500,36646,49774,39295,26,27185,17542,41860,42111,32899,8832,28031,46103,12048
28/09/2023,Indiana,75835,187,58,36530,9935,7532,25165,13183,13219,47898,41,28877,49680,27004,31431,32121,17148,2746,48737,9188
29/04/2023,New Mexico,54310,561,46,14065,30058,10359,40835,20982,16705,20578,31,13712,15360,2927,38961,5003,8179,24106,28797,9459
18/03/2023,Hawaii,98098,394,11,47619,1372,22822,28736,3651,3713,20292,64,23609,18405,5365,44587,32394,9478,30916,5331,44937
29/03/2023,Colorado,45234,760,45,37818,16775,17142,47991,3914,9212,763,47,5795,48162,20349,35214,28659,41658,37383,43103,42915
16/08/2023,Hawaii,56945,546,24,6340,35037,1010,45698,40201,29526,41298,13,14735,14303,42171,30747,472,803,8012,28758,35374
30/05/2023,Alabama,84163,350,82,34474,1805,21797,30376,49215,30737,30686,84,48603,41713,17280,44831,43739,40079,41708,7155,3226
26/08/2023,Colorado,71371,565,40,36505,7514,4675,8661,26749,42503,29357,16,19577,1840,17142,45574,34899,13967,34618,21430,23458
25/04/2023,New Hampshire,20296,371,62,48156,30438,23601,48263,37875,28924,42358,72,37034,17185,34250,3287,44266,9434,1583,17230,36803
22/10/2023,Colorado,78555,740,55,12112,35555,3690,47782,8952,3133,8240,74,34017,4001,11010,13336,22294,28430,31605,16936,4028
6/1/2023,Washington,91006,229,27,45105,2990,39255,12313,39300,44775,33716,48,25396,49955,13611,17203,29274,10059,7992,44665,45437
14/02/2023,Missouri,69990,993,58,22926,27462,39843,43206,4258,12320,19519,65,35730,43675,38140,25302,39905,46067,24643,30672,28929
26/11/2023,New Mexico,97091,100,90,27243,8739,1845,39263,32189,14401,10846,3,632,41419,48435,31623,15521,17426,27365,48121,17020
27/10/2023,Alaska,62153,467,51,7882,38670,42764,37549,47214,24331,37901,68,37769,32585,11121,26300,45722,21222,40184,47406,49864
13/04/2023,Massachusetts,4901,875,92,27495,43935,18781,1037,25703,38551,35982,13,14341,44174,3443,10264,2254,46287,30732,21933,40829
25/11/2023,Wisconsin,33236,356,24,40289,36691,1874,39402,10535,10872,44987,35,39671,31975,33024,11296,9693,28135,24153,3732,24148
18/08/2023,Maryland,97627,435,34,42558,31661,19399,20703,35106,34219,34470,67,49120,30941,37432,5944,48262,11588,5788,14330,49647
5/2/2023,Connecticut,87891,169,31,36278,5292,15564,23799,23536,31023,39032,30,20146,9034,7119,27984,4909,7959,22644,5590,14474
7/1/2023,California,60747,562,41,16117,41549,39648,23229,33800,21424,32432,5,1216,24013,32552,33541,40020,23140,14707,43606,48384
15/01/2023,Wyoming,93410,233,37,19419,4926,47176,16281,44631,18503,13748,23,1750,40126,40176,47900,42934,18007,38591,30895,39144
4/5/2023,New Hampshire,8831,274,92,6479,26356,7387,16620,25259,40259,31236,87,38894,10696,15227,21594,27689,13544,28855,38399,38808
7/3/2023,Oregon,24805,443,81,26539,23793,12976,16461,37466,2764,41728,49,25156,28022,3059,13245,29511,37676,10953,49663,1701
21/06/2023,Minnesota,69328,686,84,19058,42264,34333,45493,15917,32850,1584,54,22783,28975,7416,14665,31684,45409,97,2419,12170
25/10/2023,Kansas,66815,347,54,25848,8865,41047,5933,46722,16185,48178,25,44467,21066,22366,6098,46331,37677,6392,34683,37176
12/4/2023,Rhode Island,75874,872,26,9643,5764,39410,18243,41255,19346,29567,28,9752,16679,12168,696,42549,25956,29303,46000,33193
1/10/2023,Montana,78353,395,9,12073,46006,38366,22317,8257,26720,23419,3,26808,41142,47215,10434,9125,24991,45724,17977,4361
26/07/2023,Nevada,14116,196,30,28346,17657,47735,3825,18506,11776,37032,15,11841,7227,48108,14334,7293,18071,38796,3335,40115
13/04/2023,New Hampshire,67351,295,58,34117,12588,30669,9713,46251,5060,35926,68,34114,7469,9043,19787,48876,29932,13282,1972,846
26/05/2023,Colorado,43639,255,80,36244,45132,20529,19052,24071,34104,39968,74,46516,24154,13796,13976,36464,11598,18346,7378,23247
13/12/2022,Missouri,63500,218,65,24477,18203,38600,19789,17448,2678,22642,34,30156,38155,22628,31951,14176,34369,1221,41472,41167
27/01/2023,Kansas,72617,94,52,19257,49485,12133,27431,18145,32585,17164,27,47792,1550,44610,10485,48048,30661,23438,5663,6315
28/12/2022,Montana,76749,658,61,42239,29262,35088,28762,10817,16484,46747,9,44760,18449,33385,44512,14415,28195,37388,13768,40237
16/10/2023,Kentucky,18194,641,56,8754,16449,46450,35236,7114,3351,35719,96,33571,34789,28081,21425,21104,6064,3130,48235,41052
17/02/2023,Ohio,25318,302,12,29798,23494,21032,3405,6050,14172,42253,32,27284,41080,22226,24987,35754,36278,27255,14025,42890
19/08/2023,Tennessee,99816,871,87,22041,30231,12254,34961,43034,9448,45899,14,25646,29407,44899,21586,6407,5869,47531,31843,36002
19/09/2023,South Carolina,33723,709,99,13830,32006,13921,13342,7766,19740,945,98,47030,29018,10985,31723,16786,25998,7592,2217,11164
3/6/2023,New Jersey,5829,245,90,41765,6372,16803,42468,15790,3173,22531,7,42704,5598,47183,20958,5319,14239,16124,43081,6443
25/01/2023,New York,36907,118,41,7082,19130,33662,9191,33278,27476,10431,35,37190,13331,23192,32680,34979,15718,28815,30219,3337
18/06/2023,Utah,70919,281,97,13041,47811,13803,1395,17291,42287,6197,80,34835,15685,32233,29625,36488,6352,49086,45433,35539
10/3/2023,Missouri,3845,23,55,43622,28931,11728,1740,46745,5028,14217,97,29740,31173,21770,35509,25388,23877,49764,1754,45830
16/08/2023,Illinois,72696,675,94,3888,42291,43627,9348,18401,9451,250,68,5401,15032,17524,5065,11833,18491,48454,11300,48286
10/12/2023,Pennsylvania,27563,776,69,5558,16003,1115,37078,28876,11727,2733,55,3400,14835,17018,32929,46543,10905,40003,22074,19159
10/2/2023,Massachusetts,32002,239,54,5042,10044,9890,33873,45629,38552,25020,54,32947,48430,45632,16625,24665,41770,34737,22988,24035
15/02/2023,North Carolina,21477,730,40,95,6468,45196,22967,4260,43868,42807,33,14166,19664,21116,1402,30429,34167,15718,43873,15144
20/06/2023,Tennessee,21713,828,57,16070,28475,21861,186,11317,16955,38206,34,37303,20290,42744,15649,16782,16078,37944,25854,28659
1/12/2023,New Mexico,45517,917,74,22893,24862,42108,39257,31537,4791,11027,68,4828,9335,7867,31812,30864,17603,17529,9141,44660
29/07/2023,South Dakota,21747,312,68,49083,49930,47563,26907,28079,19879,2039,12,35080,36854,47133,23304,34558,19553,44323,42442,47844
10/10/2023,Colorado,4409,140,75,17533,39238,6752,16283,34302,36806,46771,87,18966,44662,40988,19038,24105,5455,8471,19032,44221
17/06/2023,North Dakota,12063,171,23,12966,38374,44284,14701,3320,6864,41798,62,24341,23249,34565,18971,31166,30297,25005,41075,45799
1/6/2023,Nevada,10515,486,29,12189,13471,7578,5142,13537,17721,30356,67,17547,21666,43134,47260,15082,49177,12946,1164,10894
24/03/2023,Ohio,40235,612,89,38238,10360,18512,45450,34260,49239,31823,53,3023,21860,47503,3655,2877,47888,16255,6158,18654
28/10/2023,Colorado,13820,691,87,40450,6880,489,41455,33687,29824,37077,30,5119,49987,8808,47260,47376,45114,35023,17337,19426
20/05/2023,New Hampshire,46531,267,5,21630,18495,11866,23963,49826,43242,17109,92,47969,18017,6996,18987,38723,31977,49232,14321,14177
20/02/2023,Kentucky,1511,420,85,25210,30133,10825,10969,37574,45872,9616,61,38295,30439,34333,17465,25307,11776,46519,1451,23705
28/08/2023,Nevada,5366,466,85,5561,31578,28235,34723,44859,18378,20995,47,46930,5007,18407,27136,43637,1184,8577,23490,22298
11/3/2023,Idaho,17654,349,63,21586,1501,14919,18514,22429,22689,14556,20,4474,31058,6189,21973,32947,13319,15854,4450,13782
14/12/2022,Massachusetts,27704,421,94,35572,27382,31779,46720,13478,8277,14835,23,4585,16599,11759,37796,29942,15547,43287,24603,34733
2/11/2023,Rhode Island,49611,771,53,24887,34252,42363,14556,48793,40846,42868,5,37101,26663,32777,40958,36362,3515,10641,24725,17399
9/10/2023,Utah,66983,621,15,37336,32769,38273,49475,35727,10679,37702,85,11281,35046,30136,39812,46827,5688,2972,25831,37521
11/9/2023,Arizona,38237,160,69,19163,34437,34607,12585,40138,13864,19542,91,49528,14617,44931,37293,7494,21183,21867,25952,19868
3/9/2023,Missouri,99347,739,88,7712,22571,26844,36091,37511,43829,32795,79,23006,8263,21403,21480,17777,16992,14285,47596,44082
2/2/2023,Wyoming,65667,226,4,23380,24683,16155,23678,9716,9910,21138,11,46961,36746,44502,10161,32837,44705,42639,14283,10926
4/8/2023,Alabama,41294,374,58,19621,24335,6739,27803,37059,48114,11479,88,3177,6511,28826,20047,22980,31221,15381,44281,41431
7/5/2023,Illinois,45759,862,51,23029,2359,6068,5935,32234,38955,8282,71,17748,15444,3170,40593,27623,6156,27688,23887,1804
11/7/2023,Alaska,36351,942,88,13889,36091,23540,260,25376,36500,43916,99,5666,7947,38316,45163,500,1706,35137,43144,25706
20/04/2023,Georgia,3881,255,7,46246,12715,30107,20614,39901,12180,27835,65,20557,14230,18842,22066,14925,16101,44349,40896,44517
27/04/2023,Texas,69373,930,75,47117,13448,45814,21970,31588,12179,9340,26,30499,4756,29312,38871,2136,3676,20233,36409,40967
14/09/2023,Wyoming,62881,552,79,22998,25062,21000,6827,36914,5722,12423,37,43210,20450,38481,37123,46887,25526,4076,6976,43754
13/09/2023,Missouri,52780,662,13,24439,35497,8876,32008,12538,20825,37961,76,36787,32989,12913,23120,36588,16204,43922,18545,30576
5/6/2023,Arkansas,90901,830,19,37701,42616,5433,39257,32004,33672,8847,89,19326,12823,11880,42696,21087,6845,6571,43469,44780
6/12/2023,Arkansas,22272,257,64,5801,2055,44603,19473,32425,34179,39924,57,45606,22772,22624,20047,981,24889,20305,14113,48700
18/11/2023,Nevada,44350,756,89,46494,5168,40757,12339,43881,45021,11481,58,43518,46741,30314,49792,40357,31388,13683,30721,2081
5/4/2023,Virginia,15609,578,73,9604,3277,34526,24272,35595,22482,42225,14,44915,4255,1975,41138,4630,15337,47921,23594,21708
20/10/2023,Maine,86940,230,29,40695,18605,5624,19284,9740,49250,931,52,29166,36776,30367,7951,22163,39004,10524,5458,30696
7/11/2023,South Carolina,93933,764,23,32752,30549,13061,4433,48390,21408,45219,70,19231,2722,376,42372,46566,39380,30331,632,2010
9/1/2023,Washington,22729,78,57,7034,11782,7152,22784,1231,31890,28450,65,14980,31848,22621,8538,46848,47613,44480,17756,38467
24/08/2023,Iowa,12858,971,9,1075,28155,27036,12754,22368,10897,15942,75,8111,5312,35751,27285,5860,37470,4581,42815,30706
18/07/2023,Idaho,56050,79,83,34406,36747,20761,43422,43350,26733,1839,82,25998,20976,17820,37787,27904,44641,26020,32125,28892
13/03/2023,Oklahoma,35333,182,14,4993,2209,30291,19561,1463,4309,11779,8,1026,1701,4737,7123,4971,3071,3185,44921,11411
22/04/2023,Louisiana,33907,351,28,6923,37516,12739,20916,4544,18123,16070,80,8145,44995,5210,35083,47605,26871,30550,9217,22797
28/11/2023,South Dakota,76934,772,53,36472,3571,8421,25671,48501,8103,43256,72,933,10979,40590,43220,12989,36698,37642,21204,7733
2/4/2023,New York,42287,635,51,19795,43759,39443,16060,30891,45034,1383,52,16000,8006,2299,48510,10324,41007,23542,2969,16010
28/01/2023,Nebraska,37410,930,79,18900,45554,3277,43783,29321,8188,496,44,14861,44098,10065,49071,21619,24291,6721,18553,12270
22/05/2023,Michigan,79814,146,16,9039,18303,14002,6350,29266,43423,4487,95,7544,4949,21028,29726,24452,34837,21599,47161,32506
27/10/2023,New York,97298,770,10,2047,47012,29792,21382,29029,37619,43805,13,25964,24835,37261,44327,70,38077,7398,29761,18406
2/1/2023,Illinois,25533,502,51,33005,3330,7154,25384,18669,44223,49822,81,40047,6792,49768,21963,30281,46727,26345,3128,730
3/3/2023,Hawaii,23855,132,96,44469,36315,4992,39375,15235,36087,7821,38,746,6139,3319,5534,40420,13420,1957,4576,41056
19/08/2023,Colorado,91777,378,12,294,32027,46275,40326,13860,12604,49411,79,8684,19629,6899,4146,29555,29622,24535,42127,38050
26/04/2023,Illinois,34260,388,94,8536,4471,16891,46917,19464,2410,4931,76,19084,43299,9034,44912,48693,18346,16070,25470,7778
11/4/2023,Iowa,17723,424,74,15257,5903,29048,13190,34014,49836,48940,36,46782,11540,25420,39600,23669,36069,11334,35199,37530
25/10/2023,Minnesota,31745,298,9,13418,44073,37567,25303,28496,33953,29606,2,6979,13630,25534,36759,16253,36812,21029,20301,4038
16/06/2023,Vermont,60565,351,48,31859,45352,47696,29974,19180,33929,17378,40,19935,1783,21418,20714,49657,42620,20069,34242,7215
30/10/2023,New Jersey,35169,973,2,6094,48789,30001,28978,25837,33699,28563,46,27136,14211,38544,24171,31695,10412,32616,11001,27959
20/12/2022,Utah,8299,195,26,43874,23794,49731,9948,36276,6393,39887,60,3276,34578,2882,36803,21307,20253,20069,29468,13594
31/08/2023,Arkansas,1884,895,78,43933,11505,34504,25675,2485,27047,29814,14,34426,25815,4816,39975,29700,12847,39546,46427,33646
22/12/2022,North Dakota,40892,862,55,22197,47583,11640,19368,41502,3361,34832,50,2342,8784,35105,14376,25912,35181,32273,29212,15485
15/10/2023,Georgia,5081,347,65,38897,25260,4049,8739,22695,33419,20399,75,16991,37916,47598,12690,26431,2295,20229,36006,29672
3/9/2023,Michigan,1851,136,97,1368,29666,18391,36784,42731,29325,10071,42,35023,21540,39837,45181,21028,39919,42769,9192,204
15/06/2023,South Carolina,85217,155,74,24473,2248,30521,12030,9714,40341,5672,6,9443,48525,47420,24795,10615,399,22585,15577,20418
1/6/2023,Texas,3597,341,97,26878,11074,32027,9999,14484,30643,31863,33,9389,23544,31903,28563,28199,11456,46176,28627,23983
